Region,Country,Year,Democracy Status 22,Democracy Status BD,Economy Status 22,Economy Status BD,G | Governance Index,G | Governance Index.1,GII | Governance Performance,GII | Governance Performance.1,Governance Index 22,Governance Index BD,Governance Performance Rating,Q1 | Stateness,Q1.1 | Monopoly on the use of force,Q1.2 | State identity,Q1.3 | No interference of religious dogmas,Q1.4 | Basic administration,Q10 | Welfare Regime,Q10.1 | Social safety nets,Q10.2 | Equal opportunity,Q11 | Economic Performance,Q11.1 | Output strength,Q12 | Sustainability,Q12.1 | Environmental policy,Q12.2 | Education / R&D policy,Q13 | Level of Difficulty,Q13 | Level of Difficulty.1,Q13.1 | Structural constraints,Q13.2 | Civil society traditions,Q13.3 | Conflict intensity,Q13.4 | GNI p.c. Atlas method rescaled,Q13.5 | UN Educ. Index rescaled,Q13.6 | BTI Stateness & Rule of Law,Q14 | Steering Capability,Q14.1 | Prioritization,Q14.2 | Implementation,Q14.3 | Policy learning,Q15 | Resource Efficiency,Q15.1 | Efficient use of assets,Q15.2 | Policy coordination,Q15.3 | Anti-corruption policy,Q16 | Consensus-Building,Q16.1 | Consensus on goals,Q16.2 | Anti-democratic actors,Q16.3 | Cleavage / conflict management,Q16.4 | Public consultation,Q16.5 | Reconciliation,Q17 | International Cooperation,Q17.1 | Effective use of support,Q17.2 | Credibility,Q17.3 | Regional cooperation,Q2 | Political Participation,Q2.1 | Free and fair elections,Q2.2 | Effective power to govern,Q2.3 | Association / assembly rights,Q2.4 | Freedom of expression,Q3 | Rule of Law,Q3.1 | Separation of powers,Q3.2 | Independent judiciary,Q3.3 | Prosecution of office abuse,Q3.4 | Civil rights,Q4 | Stability of Democratic Institutions,Q4.1 | Performance of democratic institutions,Q4.2 | Commitment to democratic institutions,Q5 | Political and Social Integration,Q5.1 | Party system,Q5.2 | Interest groups,Q5.3 | Approval of democracy,Q5.4 | Social capital,Q6 | Level of Socioeconomic Development,Q6.1 | Socioeconomic barriers,Q7 | Organization of the Market and Competition,Q7.1 | Market organization,Q7.2 | Competition policy,Q7.3 | Liberalization of foreign trade,Q7.4 | Banking system,Q8 | Monetary and Fiscal Stability,Q8.1 | Monetary stability,Q8.2 | Fiscal stability,Q9 | Private Property,Q9.1 | Property rights,Q9.2 | Private enterprise,Ranking Governance Index,S | Status Index,S | Status Index.1,SI | Democracy Status,SI | Democracy Status.1,SII | Economy Status,SII | Economy Status.1,Status Index Category
West and Central Africa,Mauritania,2006,,,,,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,-,-,-,-,-,-,
West and Central Africa,Mauritania,2008,,,,,5.938827160493827,5.94,6.266666666666667,6.266666666666667,,,Sound,6.25,8,6,4,7,3.5,4,3,6,6,3.5,4,3,7.645833333333333,7.6,8,8,5,9,10,5.875,7.333333333333333,7,8,7,4.666666666666667,5,6,3,5.4,6,6,5,6,4,7.666666666666667,7,8,8,5.75,6,3,6,8,4,3,4,3,6,3,3,3,3.3333333333333335,3,3,0,4,3,3,4,3,3,6,4,6,6,6,4.5,5,4,33,4.411904761904761,4.41,4.466666666666667,4.47,4.357142857142857,4.36,Very limited
West and Central Africa,Mauritania,2010,,,,,3.450902777777777,3.45,3.6166666666666667,3.6166666666666667,,,Flawed,5.25,5,6,4,6,3.5,4,3,5,5,3,3,3,7.9375,7.9,8,8,6,9,10,6.625,3.3333333333333335,3,4,3,3.3333333333333335,4,3,3,3.8,3,3,4,4,5,4,3,4,5,3.75,2,1,6,6,3.5,3,3,3,5,2,2,2,3.6666666666666665,4,3,0,4,3,3,3.75,3,2,6,4,4,4,4,4.5,4,5,107,3.727380952380953,3.73,3.6333333333333337,3.63,3.8214285714285716,3.82,Failed
West and Central Africa,Mauritania,2012,,,,,4.456296296296296,4.46,4.699999999999999,4.699999999999999,,,Flawed,5.5,6,6,4,6,3.5,4,3,6,6,3.5,4,3,7.666666666666667,7.7,8,8,6,8,10,6,4,4,4,4,3.6666666666666665,4,3,4,4.8,6,4,4,5,5,6.333333333333333,5,7,7,5.5,5,2,8,7,4.5,4,4,4,6,3,3,3,4,4,4,0,4,3,3,3.75,3,2,6,4,5.5,6,5,5,5,5,82,4.410714285714286,4.41,4.5,4.5,4.321428571428571,4.32,Very limited
West and Central Africa,Mauritania,2014,,,,,4.059120370370371,4.06,4.3,4.3,,,Flawed,5.75,7,6,4,6,3.5,4,3,6,6,3.5,4,3,7.479166666666667,7.5,8,8,6,8,9,5.875,3.6666666666666665,4,4,3,3.3333333333333335,4,3,3,4.2,4,4,4,4,5,6,5,7,6,4.75,3,2,7,7,4.5,4,4,4,6,3,3,3,4,4,4,0,4,3,3,3.75,3,2,6,4,5.5,6,5,5,5,5,95,4.360714285714286,4.36,4.4,4.4,4.321428571428571,4.32,Very limited
West and Central Africa,Mauritania,2016,,,,,4.201975308641974,4.2,4.466666666666667,4.466666666666667,,,Flawed,6,8,6,4,6,3.5,4,3,7,7,3.5,4,3,7.333333333333333,7.3,8,8,5,8,9,6,4,4,4,4,3.6666666666666665,4,3,4,4.2,4,4,4,4,5,6,5,6,7,4.5,3,2,6,7,4,3,4,4,5,2.5,3,2,4.333333333333333,5,4,0,4,3,3,3.5,3,2,5,4,5.5,6,5,5,5,5,90,4.347619047619048,4.35,4.266666666666667,4.27,4.428571428571429,4.43,Very limited
West and Central Africa,Mauritania,2018,,,,,4.060493827160494,4.06,4.333333333333333,4.333333333333333,,,Flawed,6,8,6,4,6,3.5,4,3,6,6,3.5,4,3,7.166666666666667,7.2,8,8,5,8,8,6,3.6666666666666665,4,4,3,3.3333333333333335,4,3,3,4,3,4,4,4,5,6.333333333333333,5,7,7,4.25,3,2,6,6,4,3,4,4,5,2.5,3,2,4.333333333333333,5,4,0,4,3,3,3.5,3,2,5,4,5.5,6,5,4.5,5,4,91,4.21547619,4.22,4.216666666666667,4.22,4.214285714285714,4.21,Very limited
West and Central Africa,Mauritania,2020,,,,,3.9961805555555556,4,4.25,4.25,,,Flawed,6.25,9,6,4,6,3.5,4,3,5,5,3.5,4,3,7.3125,7.3,8,8,5,8,9,5.875,3.6666666666666665,4,4,3,3.3333333333333335,4,3,3,4,3,4,4,4,5,6,5,6,7,4.25,3,2,6,6,4,3,4,4,5,2.5,3,2,4.333333333333333,5,4,0,4,3,3,3.75,3,2,5,5,5.5,6,5,5,5,5,99,4.222619047619048,4.22,4.266666666666667,4.27,4.178571428571429,4.18,Very limited
West and Central Africa,Mauritania,2022,4.416666666666666,,4.178571428571429,,3.998148148148148,4,4.25,4.25,3.998148148148148,,Flawed,5.75,8,6,4,5,3.5,4,3,5,5,3.5,4,3,7.333333333333333,7.3,8,8,5,8,9,6,3.3333333333333335,4,4,2,3.3333333333333335,4,3,3,4,3,4,4,4,5,6.333333333333333,5,7,7,4.75,4,2,7,6,4.25,3,4,5,5,3,3,3,4.333333333333333,5,4,0,4,3,3,3.75,3,2,5,5,5.5,6,5,5,5,5,94,4.2976190476190474,4.3,4.416666666666666,4.42,4.178571428571429,4.18,Very limited
West and Central Africa,Mauritania,2024,4.416666666666666,4.416666666666666,4.178571428571429,4.214285714285714,4.1073456790123455,4.11,4.383333333333333,4.383333333333333,3.998148148148148,4.1073456790123455,Flawed,5.75,8,6,4,5,3.5,4,3,5,5,3.5,4,3,7.166666666666667,7.2,8,8,5,8,8,6,3.6666666666666665,4,4,3,3.3333333333333335,4,3,3,4.2,3,4,5,4,5,6.333333333333333,5,7,7,4.75,4,2,7,6,4.25,3,4,5,5,3,3,3,4.333333333333333,5,4,0,4,3,3,3.5,3,2,5,4,5.5,6,5,5.5,5,6,90,4.31547619,4.32,4.416666666666666,4.42,4.214285714285714,4.21,Very limited
