Country Name,Country ISO3 Code,Year,Region (Politico-Geographic 6-Category),Deliberative Democracy Index (D),Egalitarian Democracy Index (D),Electoral Democracy Index (D),Liberal Democracy Index (D),Participatory Democracy Index (D),Civil Society Participation Index (D),Clean Elections Index (D),CSO Entry and Exit (C),CSO Repression (C),Deliberative Component Index (D),Distinct Party Platforms (C),Egalitarian Component Index (D),Elected Officials Index (D),Elections Multiparty (C),Equal Access Index (D),Equal Distribution of Resources Index (D),Equal Protection Index (D),Executive Oversight (C),Executive Respects Constitution (C),Gov. Censorship Effort — Media (C),Harassment of Journalists (C),Legislative Constraints on Executive Index (D),Legislative Party Cohesion (C),Legislature Opposition Parties (C),Media Bias (C),Media Self-Censorship (C),Opposition Parties Autonomy (C),Participatory Component Index (D),Party Ban (C),Party Branches (C),Party Linkages (C),Party Organizations (C),Print/Broadcast Media Critical (C),Print/Broadcast Media Perspectives (C),Rigorous & Impartial Public Administration (C),Social Class Equality (Civil Liberty) (C),Social Group Equality (Civil Liberty) (C),Transparent Laws with Predictable Enforcement (C)
Burundi,BDI,1960,4.000,0.024,0.049,0.108,0.063,0.064,0.302,0.000,-1.547,-0.936,0.062,-0.889,0.157,0.000,,0.111,0.096,0.203,-1.853,0.833,-1.115,-0.797,0.079,-0.824,,-1.455,-2.677,-0.021,0.212,0.520,-1.132,0.824,-1.229,-2.618,-1.548,-2.196,-0.886,1.189,-1.942
Burundi,BDI,1961,4.000,0.058,0.054,0.126,0.078,0.067,0.302,0.111,-1.547,-0.936,0.183,-0.889,0.164,0.000,1.446,0.144,0.096,0.203,0.626,0.700,-1.115,-0.797,0.489,-1.288,,-1.455,-2.677,-0.021,0.212,0.520,-1.132,0.824,-1.229,-2.618,-1.548,-2.196,-0.886,1.189,-1.942
Burundi,BDI,1962,4.000,0.078,0.076,0.187,0.132,0.073,0.298,0.448,-1.547,-0.936,0.209,-0.354,0.206,0.000,1.446,0.190,0.096,0.273,0.626,0.354,0.177,-0.797,0.408,-0.545,-0.724,-0.980,-1.402,-1.124,0.194,0.520,-0.572,1.012,-0.179,-1.998,-0.980,-1.859,-0.626,1.269,-2.009
Burundi,BDI,1963,4.000,0.083,0.097,0.192,0.135,0.074,0.298,0.427,-1.547,-0.936,0.224,-0.780,0.274,0.000,1.446,0.390,0.122,0.273,0.626,0.402,0.177,-0.797,0.408,-0.545,-0.724,-0.980,-1.402,-1.124,0.194,0.520,-0.572,1.012,-0.179,-1.998,-0.980,-1.808,-0.626,1.269,-1.737
Burundi,BDI,1964,4.000,0.083,0.097,0.192,0.134,0.074,0.298,0.427,-1.547,-0.936,0.224,-0.780,0.274,0.000,1.446,0.390,0.122,0.273,0.626,0.402,0.177,-0.797,0.408,-0.545,-0.724,-0.980,-1.402,-1.124,0.194,0.520,-0.572,0.100,-0.179,-1.998,-0.980,-1.808,-0.626,1.269,-1.737
Burundi,BDI,1965,4.000,0.080,0.094,0.180,0.131,0.066,0.298,0.355,-1.547,-0.936,0.224,-0.780,0.274,0.000,-0.318,0.390,0.122,0.273,0.626,0.402,0.177,-0.797,0.408,-0.545,-0.724,-0.980,-1.402,-1.124,0.175,0.520,-0.572,0.100,-0.179,-1.998,-0.980,-1.808,-0.626,1.269,-1.737
Burundi,BDI,1966,4.000,0.070,0.083,0.124,0.105,0.063,0.392,0.258,-2.171,-1.742,0.221,-0.304,0.273,0.000,-0.318,0.372,0.133,0.273,0.626,-0.662,-0.900,-0.797,0.365,0.655,,-2.388,-2.660,-1.124,0.200,-2.276,-0.472,-0.260,-0.139,-2.584,-1.554,-1.808,-0.626,1.269,-1.737
Burundi,BDI,1967,4.000,0.062,0.090,0.085,0.066,0.057,0.392,0.000,-2.171,-1.742,0.225,-0.304,0.327,0.000,,0.440,0.146,0.351,-1.891,-0.662,-1.549,-0.797,0.074,0.655,,-2.388,-2.660,-1.124,0.200,-2.276,-0.472,-0.260,-0.139,-2.584,-1.554,-1.808,-0.212,1.348,-1.737
Burundi,BDI,1968,4.000,0.062,0.090,0.085,0.066,0.057,0.392,0.000,-2.171,-1.742,0.225,-0.304,0.327,0.000,,0.440,0.146,0.351,-1.891,-0.662,-1.549,-0.797,0.074,0.655,,-2.388,-2.660,-1.124,0.200,-2.276,-0.472,-0.260,-0.139,-2.584,-1.554,-1.808,-0.212,1.348,-1.737
Burundi,BDI,1969,4.000,0.062,0.090,0.084,0.066,0.057,0.392,0.000,-2.171,-1.742,0.225,-0.304,0.327,0.000,,0.440,0.146,0.351,-1.891,-0.662,-1.549,-0.797,0.074,0.655,,-2.388,-2.660,-2.206,0.200,-2.276,-0.472,-0.260,-0.139,-2.584,-1.554,-1.808,-0.212,1.348,-1.737
Burundi,BDI,1970,4.000,0.074,0.090,0.083,0.068,0.057,0.392,0.000,-2.171,-1.742,0.264,-0.304,0.327,0.000,,0.440,0.146,0.351,-1.891,-0.662,-1.549,-0.797,0.074,0.655,,-2.388,-2.660,-3.047,0.200,-2.276,-0.472,-0.260,-0.139,-2.584,-1.554,-1.808,-0.212,1.348,-1.228
Burundi,BDI,1971,4.000,0.074,0.090,0.083,0.066,0.057,0.392,0.000,-2.171,-1.742,0.264,-0.304,0.327,0.000,,0.440,0.146,0.351,-1.891,-0.662,-1.549,-0.797,0.074,0.655,,-2.388,-2.660,-3.047,0.200,-2.276,-0.472,-0.260,-0.139,-2.584,-1.554,-1.808,-0.212,1.348,-1.228
Burundi,BDI,1972,4.000,0.074,0.086,0.083,0.066,0.057,0.392,0.000,-2.171,-1.742,0.264,-0.304,0.311,0.000,,0.389,0.146,0.351,-1.891,-0.662,-1.549,-0.797,0.074,0.655,,-2.388,-2.660,-3.047,0.200,-2.276,-0.472,-0.260,-0.139,-2.584,-1.554,-2.094,-0.212,1.348,-1.495
Burundi,BDI,1973,4.000,0.074,0.086,0.083,0.066,0.057,0.392,0.000,-2.171,-1.742,0.264,-0.304,0.311,0.000,,0.389,0.146,0.351,-1.891,-0.662,-1.549,-0.797,0.074,0.655,,-2.388,-2.660,-3.047,0.200,-2.276,-0.472,-0.260,-0.139,-2.584,-1.554,-2.094,-0.212,1.348,-1.495
Burundi,BDI,1974,4.000,0.074,0.086,0.083,0.066,0.057,0.392,0.000,-2.171,-1.742,0.264,-0.304,0.311,0.000,,0.389,0.146,0.351,-1.891,-0.662,-1.549,-0.797,0.074,0.655,,-2.388,-2.660,-3.047,0.200,-2.276,-0.472,-0.260,-0.139,-2.584,-1.554,-2.094,-0.212,1.348,-1.495
Burundi,BDI,1975,4.000,0.074,0.087,0.083,0.069,0.057,0.392,0.000,-2.171,-1.742,0.264,-0.304,0.317,0.000,,0.389,0.175,0.351,-1.891,-0.662,-1.549,-0.797,0.074,0.655,,-2.388,-2.660,-3.047,0.200,-2.276,-0.472,-0.260,-0.139,-2.584,-1.554,-2.094,-0.212,1.348,-1.495
Burundi,BDI,1976,4.000,0.079,0.091,0.080,0.077,0.057,0.392,0.000,-2.171,-1.742,0.287,-0.304,0.332,0.000,,0.416,0.184,0.351,-1.891,-0.315,-1.549,-2.707,0.074,0.655,,-2.388,-2.660,-3.047,0.200,-2.276,-0.472,-0.260,-0.139,-2.584,-1.554,-0.778,-0.212,1.348,-1.241
Burundi,BDI,1977,4.000,0.150,0.100,0.081,0.079,0.057,0.392,0.000,-2.171,-1.742,0.556,-0.304,0.367,0.000,,0.405,0.320,0.351,-1.891,-0.315,-1.755,-2.707,0.074,0.655,,-2.388,-2.660,-3.047,0.200,-2.276,-0.472,-0.260,-0.139,-2.005,-1.554,-0.481,-0.212,1.348,-1.241
Burundi,BDI,1978,4.000,0.150,0.104,0.081,0.082,0.057,0.392,0.000,-2.171,-1.742,0.556,-0.304,0.384,0.000,,0.405,0.320,0.401,-1.891,-0.315,-1.755,-2.707,0.074,0.655,,-2.388,-2.660,-3.047,0.200,-2.276,-0.472,-0.260,-0.139,-2.005,-1.554,-0.481,0.031,1.348,-1.241
Burundi,BDI,1979,4.000,0.150,0.104,0.083,0.082,0.057,0.392,0.000,-2.171,-1.742,0.556,-0.304,0.384,0.000,,0.405,0.320,0.401,-1.891,-0.315,-1.250,-2.707,0.074,0.655,,-2.388,-2.660,-3.047,0.200,-2.276,-0.472,-0.260,-0.139,-2.005,-1.554,-0.481,0.031,1.348,-1.241
Burundi,BDI,1980,4.000,0.150,0.112,0.084,0.084,0.057,0.392,0.000,-2.171,-1.468,0.556,-0.304,0.409,0.000,,0.405,0.380,0.405,-1.891,-0.315,-1.250,-2.707,0.074,0.655,,-2.388,-2.660,-3.047,0.200,-2.276,-0.472,-0.260,-0.139,-2.005,-1.554,-0.481,0.031,1.432,-1.241
Burundi,BDI,1981,4.000,0.151,0.113,0.090,0.085,0.067,0.392,0.050,-2.171,-1.468,0.556,-0.304,0.409,0.000,-2.005,0.405,0.380,0.405,-0.576,-0.315,-1.250,-2.707,0.275,0.655,,-2.388,-2.660,-3.047,0.233,-2.276,-0.472,-0.260,-0.139,-2.005,-1.554,-0.481,0.031,1.432,-1.241
Burundi,BDI,1982,4.000,0.163,0.122,0.137,0.099,0.073,0.392,0.413,-2.171,-1.468,0.556,-0.304,0.409,0.000,-2.005,0.405,0.380,0.405,0.407,-0.315,-1.250,-2.707,0.390,0.655,-1.889,-2.388,-2.660,-3.047,0.228,-2.276,-0.472,-0.260,-0.139,-2.005,-1.554,-0.481,0.031,1.432,-1.241
Burundi,BDI,1983,4.000,0.163,0.122,0.138,0.121,0.073,0.392,0.408,-2.171,-1.468,0.556,-0.304,0.409,0.000,-2.005,0.405,0.380,0.405,0.407,-0.315,-1.250,-2.707,0.297,0.655,-1.889,-2.388,-2.660,-3.047,0.228,-2.276,-0.472,-0.260,-0.139,-2.005,-1.554,-0.481,0.031,1.432,-1.241
Burundi,BDI,1984,4.000,0.162,0.125,0.137,0.121,0.073,0.392,0.402,-2.171,-1.468,0.556,-0.304,0.418,0.900,-2.020,0.438,0.380,0.405,0.407,-0.315,-1.250,-2.707,0.297,0.655,-1.889,-2.388,-2.660,-3.047,0.228,-2.276,-0.472,-0.260,-0.139,-2.005,-1.554,-0.481,0.031,1.432,-1.241
Burundi,BDI,1985,4.000,0.179,0.139,0.193,0.135,0.084,0.392,0.389,-2.171,-1.468,0.556,-0.304,0.418,0.900,-2.020,0.438,0.380,0.405,0.407,-0.315,-1.250,-2.707,0.297,0.655,-1.889,-2.388,-2.660,-3.047,0.228,-2.276,-0.472,-0.260,-0.139,-1.403,-1.554,-0.481,0.031,1.432,-1.241
Burundi,BDI,1986,4.000,0.179,0.139,0.193,0.137,0.084,0.392,0.389,-2.171,-1.468,0.556,-0.304,0.418,0.900,-2.020,0.438,0.380,0.405,0.407,-0.315,-1.250,-2.707,0.297,0.655,-1.889,-2.388,-2.660,-3.047,0.228,-2.276,-0.472,-0.260,-0.139,-1.403,-1.554,-0.481,0.031,1.432,-1.241
Burundi,BDI,1987,4.000,0.170,0.131,0.159,0.126,0.078,0.392,0.261,-2.171,-1.468,0.556,-0.304,0.418,0.000,-2.020,0.438,0.380,0.405,0.407,-0.431,-1.250,-2.707,0.379,0.655,,-2.388,-2.660,-3.047,0.228,-2.276,-0.472,-0.260,-0.139,-1.403,-1.554,-0.481,0.031,1.432,0.138
Burundi,BDI,1988,4.000,0.164,0.122,0.088,0.085,0.065,0.392,0.000,-2.171,-1.468,0.613,-0.304,0.446,0.000,,0.484,0.422,0.405,0.130,-0.431,-1.250,-2.707,0.434,0.655,,-2.388,-2.660,-3.047,0.228,-2.276,-0.472,-0.260,-0.139,-1.403,-1.554,-0.063,0.031,1.432,0.138
Burundi,BDI,1989,4.000,0.189,0.122,0.089,0.085,0.065,0.392,0.000,-2.171,-1.468,0.709,-0.304,0.446,0.000,,0.484,0.422,0.405,0.130,-0.431,-1.250,-2.707,0.434,0.655,,-2.388,-2.660,-3.047,0.228,-2.276,-0.472,-0.260,-0.139,-1.403,-1.554,-0.063,0.031,1.432,0.138
Burundi,BDI,1990,4.000,0.189,0.125,0.089,0.087,0.065,0.392,0.000,-2.171,-1.468,0.709,-0.304,0.458,0.000,,0.484,0.462,0.405,0.130,-0.431,-1.250,-2.707,0.434,0.655,,-2.388,-2.660,-3.047,0.228,-2.276,-0.472,-0.260,-0.139,-1.403,-1.270,0.045,0.031,1.432,0.138
Burundi,BDI,1991,4.000,0.189,0.125,0.089,0.083,0.079,0.440,0.000,-2.171,-1.140,0.709,-0.304,0.458,0.000,,0.484,0.462,0.405,0.130,-0.431,-1.250,-2.707,0.434,0.655,,-2.388,-2.660,-3.047,0.281,-2.276,-0.472,-0.260,-0.139,-1.403,-1.270,0.045,0.031,1.432,0.138
Burundi,BDI,1992,4.000,0.231,0.142,0.165,0.100,0.120,0.611,0.000,-0.023,-0.530,0.784,-0.468,0.458,0.000,,0.484,0.462,0.405,0.130,0.211,0.331,-0.693,0.434,0.655,,-0.866,1.194,0.249,0.376,0.004,-0.649,0.624,-1.106,-0.794,-0.407,0.045,0.031,1.432,0.138
Burundi,BDI,1993,4.000,0.285,0.195,0.275,0.161,0.168,0.727,0.232,0.095,-0.530,0.783,-0.628,0.500,0.000,1.449,0.725,0.359,0.405,0.257,0.211,0.532,-0.495,0.451,-0.226,0.085,0.106,1.194,0.489,0.421,1.363,0.546,0.553,-0.077,-0.154,0.198,-0.187,0.031,1.432,0.138
Burundi,BDI,1994,4.000,0.247,0.187,0.238,0.166,0.153,0.727,0.000,0.095,-0.530,0.732,-0.628,0.533,1.000,,0.754,0.355,0.505,0.380,0.128,0.532,-0.495,0.467,-0.226,0.085,0.708,1.194,0.155,0.421,1.363,0.546,-0.908,-0.077,-0.154,0.198,-0.619,0.504,1.432,0.138
Burundi,BDI,1995,4.000,0.254,0.192,0.254,0.168,0.157,0.727,0.000,0.095,-0.530,0.732,-0.628,0.533,1.000,,0.754,0.355,0.505,0.380,0.128,0.532,-0.495,0.438,-0.226,0.085,0.708,1.194,0.155,0.421,1.363,0.322,-0.908,-0.077,-0.154,0.198,-0.619,0.504,1.432,0.138
Burundi,BDI,1996,4.000,0.235,0.183,0.225,0.153,0.148,0.727,0.000,0.095,-0.530,0.718,-0.628,0.535,0.000,,0.745,0.355,0.517,0.380,0.128,0.532,-1.010,0.438,0.095,0.085,0.708,0.808,0.155,0.421,1.363,0.322,-0.908,-0.077,0.164,0.198,-0.619,0.504,1.254,0.138
Burundi,BDI,1997,4.000,0.204,0.170,0.188,0.148,0.137,0.727,0.000,0.095,-0.530,0.655,-0.628,0.535,0.000,,0.745,0.355,0.517,0.380,0.128,0.279,-1.010,0.438,0.095,0.085,0.708,0.808,0.155,0.417,1.363,0.322,-0.908,-0.077,0.164,0.198,-0.619,0.504,1.254,0.138
Burundi,BDI,1998,4.000,0.208,0.169,0.184,0.146,0.134,0.727,0.000,0.095,-0.530,0.672,-0.628,0.535,0.000,,0.745,0.355,0.517,0.380,0.128,0.279,-1.010,0.438,0.095,0.085,0.708,-0.201,0.155,0.413,1.363,0.322,-0.908,-0.077,0.164,0.198,-0.619,0.504,1.254,0.138
Burundi,BDI,1999,4.000,0.210,0.170,0.186,0.147,0.133,0.727,0.000,0.095,-0.530,0.672,-0.628,0.535,0.000,,0.745,0.355,0.517,0.380,0.128,0.279,-1.010,0.438,0.095,0.085,0.708,-0.201,0.155,0.409,1.363,0.322,-0.908,-0.077,0.622,0.198,-0.619,0.504,1.254,0.138
Burundi,BDI,2000,4.000,0.220,0.170,0.185,0.146,0.132,0.727,0.000,0.095,-0.530,0.712,-0.628,0.537,0.000,,0.741,0.355,0.517,0.380,0.128,0.279,-1.010,0.431,0.095,0.085,0.708,-0.201,0.155,0.405,1.363,0.322,-0.908,-0.077,0.622,0.198,-0.619,0.504,1.254,0.138
