,Clean Elections Index (D),Electoral Democracy Index (D),Liberal Democracy Index (D),Gov. Censorship Effort — Media (C),Freedom of Expression & Alt. Info. Index (D),VA.PER.RNK,CC.PER.RNK,GE.PER.RNK,PV.PER.RNK,RL.PER.RNK,RQ.PER.RNK
Clean Elections Index (D),1.0,0.79,0.474,0.212,0.442,0.367,0.481,0.207,0.48,0.211,-0.253
Electoral Democracy Index (D),0.79,1.0,0.865,0.541,0.842,0.603,0.736,0.525,0.387,0.392,-0.453
Liberal Democracy Index (D),0.474,0.865,1.0,0.71,0.965,0.597,0.859,0.787,0.252,0.493,-0.651
Gov. Censorship Effort — Media (C),0.212,0.541,0.71,1.0,0.753,0.508,0.539,0.525,0.449,0.175,-0.662
Freedom of Expression & Alt. Info. Index (D),0.442,0.842,0.965,0.753,1.0,0.596,0.903,0.729,0.358,0.486,-0.728
VA.PER.RNK,0.367,0.603,0.597,0.508,0.596,1.0,0.517,0.311,0.151,0.178,-0.335
CC.PER.RNK,0.481,0.736,0.859,0.539,0.903,0.517,1.0,0.676,0.328,0.541,-0.812
GE.PER.RNK,0.207,0.525,0.787,0.525,0.729,0.311,0.676,1.0,-0.088,0.589,-0.475
PV.PER.RNK,0.48,0.387,0.252,0.449,0.358,0.151,0.328,-0.088,1.0,0.099,-0.411
RL.PER.RNK,0.211,0.392,0.493,0.175,0.486,0.178,0.541,0.589,0.099,1.0,-0.379
RQ.PER.RNK,-0.253,-0.453,-0.651,-0.662,-0.728,-0.335,-0.812,-0.475,-0.411,-0.379,1.0
