Region,Country,Year,G | Governance Index,G | Governance Index.1,GII | Governance Performance,GII | Governance Performance.1,Governance Performance Rating,Q1 | Stateness,Q1.1 | Monopoly on the use of force,Q1.2 | State identity,Q1.3 | No interference of religious dogmas,Q1.4 | Basic administration,Q10 | Welfare Regime,Q10.1 | Social safety nets,Q10.2 | Equal opportunity,Q11 | Economic Performance,Q11.1 | Output strength,Q12 | Sustainability,Q12.1 | Environmental policy,Q12.2 | Education / R&D policy,Q13 | Level of Difficulty,Q13 | Level of Difficulty.1,Q13.1 | Structural constraints,Q13.2 | Civil society traditions,Q13.3 | Conflict intensity,Q13.4 | GNI p.c. Atlas method rescaled,Q13.5 | UN Educ. Index rescaled,Q13.6 | BTI Stateness & Rule of Law,Q14 | Steering Capability,Q14.1 | Prioritization,Q14.2 | Implementation,Q14.3 | Policy learning,Q15 | Resource Efficiency,Q15.1 | Efficient use of assets,Q15.2 | Policy coordination,Q15.3 | Anti-corruption policy,Q16 | Consensus-Building,Q16.1 | Consensus on goals,Q16.2 | Anti-democratic actors,Q16.3 | Cleavage / conflict management,Q16.4 | Public consultation,Q16.5 | Reconciliation,Q17 | International Cooperation,Q17.1 | Effective use of support,Q17.2 | Credibility,Q17.3 | Regional cooperation,Q2 | Political Participation,Q2.1 | Free and fair elections,Q2.2 | Effective power to govern,Q2.3 | Association / assembly rights,Q2.4 | Freedom of expression,Q3 | Rule of Law,Q3.1 | Separation of powers,Q3.2 | Independent judiciary,Q3.3 | Prosecution of office abuse,Q3.4 | Civil rights,Q4 | Stability of Democratic Institutions,Q4.1 | Performance of democratic institutions,Q4.2 | Commitment to democratic institutions,Q5 | Political and Social Integration,Q5.1 | Party system,Q5.2 | Interest groups,Q5.3 | Approval of democracy,Q5.4 | Social capital,Q6 | Level of Socioeconomic Development,Q6.1 | Socioeconomic barriers,Q7 | Organization of the Market and Competition,Q7.1 | Market organization,Q7.2 | Competition policy,Q7.3 | Liberalization of foreign trade,Q7.4 | Banking system,Q8 | Monetary and Fiscal Stability,Q8.1 | Monetary stability,Q8.2 | Fiscal stability,Q9 | Private Property,Q9.1 | Property rights,Q9.2 | Private enterprise,Ranking Governance Index,S | Status Index,S | Status Index.1,SI | Democracy Status,SI | Democracy Status.1,SII | Economy Status,SII | Economy Status.1,Status Index Category
West and Central Africa,Sierra Leone,2006,5.717700617283949,5.72,6.033333333333333,6.033333333333333,Sound,7.5,7,9,9,5,3.5,4,3,6,6,3.5,4,3,7.645833333333333,7.6,10,7,4,10,10,4.875,5,4,7,4,4.333333333333333,4,6,3,6.8,7,7,7,,,8,8,8,8,7.5,9,7,8,6,4.75,4,4,4,7,6,5,7,5,6,5,0,4,1,1,5.75,4,8,7,4,5.5,6,5,5.5,4,7,39,5.271428571428572,5.27,6.15,6.15,4.392857142857143,4.39,Very limited
West and Central Africa,Sierra Leone,2008,5.013086419753087,5.01,5.266666666666667,5.266666666666667,Fair,7.5,7,8,9,6,3,4,2,6,6,3.5,4,3,7.833333333333333,7.8,10,7,5,10,10,5,5,5,5,5,3.3333333333333335,3,4,3,5.4,6,7,4,4,6,7.333333333333333,7,8,7,7.25,9,7,7,6,4.5,4,6,3,5,6,5,7,5,6,5,0,4,1,1,5.5,3,6,8,5,6,6,6,6,5,7,65,5.239285714285714,5.24,6.05,6.05,4.428571428571429,4.43,Very limited
West and Central Africa,Sierra Leone,2010,5.351805555555554,5.35,5.6499999999999995,5.6499999999999995,Fair,7.5,7,8,9,6,3,4,2,6,6,3.5,4,3,7.625,7.6,10,6,5,10,10,4.75,6,6,6,6,3.6666666666666665,3,4,4,5.6,6,7,5,4,6,7.333333333333333,7,8,7,7.25,8,7,8,6,5,5,5,4,6,6.5,6,7,5.333333333333333,7,5,0,4,1,1,5.25,3,6,7,5,6.5,6,7,6,5,7,58,5.390476190476191,5.39,6.316666666666666,6.32,4.464285714285714,4.46,Very limited
West and Central Africa,Sierra Leone,2012,5.349189814814814,5.35,5.65,5.65,Fair,7.75,8,8,9,6,3,4,2,5,5,3.5,4,3,7.604166666666667,7.6,10,6,5,10,10,4.625,6,6,6,6,4,4,4,4,5.6,6,7,5,4,6,7,7,7,7,7,8,7,7,6,5,5,5,4,6,6.5,6,7,5.333333333333333,7,5,0,4,1,1,5.25,3,6,7,5,6,6,6,6,5,7,58,5.283333333333333,5.28,6.316666666666666,6.32,4.25,4.25,Very limited
West and Central Africa,Sierra Leone,2014,5.448649691358025,5.45,5.783333333333333,5.783333333333333,Fair,7.75,8,8,9,6,2.5,3,2,6,6,4,4,4,7.395833333333333,7.4,10,6,4,10,10,4.375,6,6,6,6,4,4,4,4,5.8,6,7,5,5,6,7.333333333333333,7,8,7,7.25,8,7,7,7,5.5,5,5,5,7,7,6,8,5.333333333333333,7,5,0,4,1,1,5.25,3,6,7,5,5.5,5,6,6,5,7,51,5.444047619,5.44,6.566666666666667,6.57,4.321428571428571,4.32,Very limited
West and Central Africa,Sierra Leone,2016,5.3516666666666675,5.35,5.7,5.7,Fair,7.5,8,8,9,5,3,3,3,6,6,3.5,4,3,7.25,7.3,10,6,4,9,10,4.5,5.666666666666667,5,6,6,4.333333333333333,4,4,5,5.8,6,7,5,5,6,7,7,7,7,7.25,8,7,8,6,5.5,5,5,5,7,6.5,6,7,5.333333333333333,7,5,0,4,1,1,5.25,3,6,7,5,5.5,5,6,6,5,7,53,5.369047619047619,5.37,6.416666666666667,6.42,4.321428571428571,4.32,Very limited
West and Central Africa,Sierra Leone,2018,4.928665123456791,4.93,5.283333333333334,5.283333333333334,Fair,7.5,8,8,9,5,3,3,3,5,5,3.5,4,3,6.979166666666667,7,10,6,4,9,8,4.875,4.666666666666667,4,5,5,4,4,4,4,5.8,6,7,5,5,6,6.666666666666667,7,6,7,6.75,8,7,6,6,4.75,4,5,4,6,6.5,6,7,5.25,6,5,6,4,1,1,5,3,5,7,5,5.5,5,6,6,5,7,68,5.146428571428572,5.15,6.15,6.15,4.142857142857143,4.14,Very limited
West and Central Africa,Sierra Leone,2020,4.870185185185185,4.87,5.2,5.2,Fair,7.5,8,8,9,5,3,3,3,6,6,4,4,4,7.145833333333333,7.1,10,6,4,9,9,4.875,4.333333333333333,4,5,4,4,4,4,4,5.8,6,7,5,5,6,6.666666666666667,7,6,7,6.75,8,7,6,6,4.75,5,4,4,6,6.5,6,7,5.75,6,5,8,4,1,1,4.75,3,5,6,5,5.5,5,6,6,5,7,73,5.285714285714286,5.29,6.25,6.25,4.321428571428571,4.32,Very limited
West and Central Africa,Sierra Leone,2022,4.782662037037037,4.78,5.116666666666667,5.116666666666667,Fair,7,8,7,9,4,3,3,3,5,5,4,4,4,7.0625,7.1,10,6,4,9,8,5.375,3.6666666666666665,4,3,4,4.333333333333333,4,4,5,5.8,6,7,5,5,6,6.666666666666667,7,6,7,6.75,8,7,6,6,4.25,4,4,4,5,6,6,6,6,6,5,8,5,1,1,4.75,3,5,6,5,5.5,5,6,6,5,7,73,5.089285714285714,5.09,6,6,4.178571428571429,4.18,Very limited
West and Central Africa,Sierra Leone,2024,4.666111111111112,4.67,4.933333333333334,4.933333333333334,Flawed,7,8,7,9,4,3,3,3,5,5,4.5,4,5,7.5625,7.6,10,6,6,10,8,5.375,4,4,4,4,4,4,4,4,5.4,6,6,4,5,6,6.333333333333333,7,6,6,6.5,7,7,6,6,4.25,4,4,4,5,6,6,6,5.5,5,5,7,5,1,1,4.75,3,5,6,5,5.5,5,6,6,5,7,70,5.05,5.05,5.85,5.85,4.25,4.25,Very limited
