Country Name,Country ISO3 Code,Year,Region (Politico-Geographic 6-Category),Deliberative Democracy Index (D),Egalitarian Democracy Index (D),Electoral Democracy Index (D),Liberal Democracy Index (D),Participatory Democracy Index (D),Access to Justice for Men (C),Access to Justice for Women (C),Barriers to Parties (C),Civil Society Participation Index (D),Clean Elections Index (D),Compliance with High Court (C),Compliance with Judiciary (C),CSO Entry and Exit (C),CSO Repression (C),Deliberative Component Index (D),Distinct Party Platforms (C),Egalitarian Component Index (D),Elected Officials Index (D),Elections Multiparty (C),Equal Access Index (D),Equal Distribution of Resources Index (D),Equal Protection Index (D),Equality before Law & Individual Liberty Index (D),Executive Oversight (C),Executive Respects Constitution (C),Freedom from Forced Labor for Men (C),Freedom from Forced Labor for Women (C),Freedom from Political Killings (C),Freedom from Torture (C),Freedom of Academic & Cultural Expression (C),Freedom of Association Thick Index (D),Freedom of Discussion for Men (C),Freedom of Discussion for Women (C),Freedom of Domestic Movement for Men (C),Freedom of Domestic Movement for Women (C),Freedom of Expression & Alt. Info. Index (D),Freedom of Foreign Movement (C),Freedom of Religion (C),Gov. Censorship Effort — Media (C),Harassment of Journalists (C),High Court Independence (C),Indirectly Elected Legis. Lower Chamber (A),Indirectly Elected Legis. Upper Chamber (A),Initiatives Administrative Threshold (A),Initiatives Permitted (A),Initiatives Signatures (A),Initiatives Signatures % (A),Initiatives Super Majority (A),Judicial Constraints on Executive Index (D),Legislative Constraints on Executive Index (D),Legislative Party Cohesion (C),Legislature Bicameral (A*),Legislature Investigates in Practice (C),Legislature Opposition Parties (C),Legislature Questions Officials in Practice (C),Liberal Component Index (D),Lower Chamber Elected (A),Lower Court Independence (C),Media Bias (C),Media Self-Censorship (C),Opposition Parties Autonomy (C),Participatory Component Index (D),Party Ban (C),Party Branches (C),Party Linkages (C),Party Organizations (C),Print/Broadcast Media Critical (C),Print/Broadcast Media Perspectives (C),Rigorous & Impartial Public Administration (C),Social Class Equality (Civil Liberty) (C),Social Group Equality (Civil Liberty) (C),Transparent Laws with Predictable Enforcement (C)
Sierra Leone,SLE,1960,4.000,0.190,0.089,0.234,0.119,0.111,-0.669,-1.147,1.060,0.274,0.293,0.618,-0.215,-0.635,0.918,0.554,-0.824,0.213,0.000,-0.373,0.380,0.147,0.067,0.324,-1.590,-0.894,-0.290,-0.907,0.729,-0.742,0.498,0.594,0.438,-1.308,-0.030,-0.983,0.468,0.503,1.669,-0.432,0.901,-0.721,0.000,,,0.000,,,,0.402,0.187,-0.743,1.000,-1.302,0.322,-0.858,0.312,76.400,-0.155,-1.484,0.222,0.818,0.283,1.750,-0.854,-1.246,-0.808,0.329,0.542,0.545,-1.470,-1.351,-0.072
Sierra Leone,SLE,1961,4.000,0.194,0.114,0.246,0.138,0.116,-0.312,-1.039,1.060,0.287,0.293,0.618,-0.278,-0.564,0.769,0.547,-0.824,0.287,0.764,-0.373,0.489,0.220,0.119,0.395,-1.590,-0.622,0.730,-0.568,0.009,-0.467,0.808,0.599,0.388,-1.159,-0.030,-0.355,0.567,0.752,1.669,0.077,0.901,-0.566,0.000,,,0.000,,,,0.436,0.254,-0.743,1.000,-0.801,0.946,-0.858,0.364,76.400,0.111,-0.754,0.413,0.818,0.289,1.750,-0.854,-1.246,-0.808,0.329,1.432,0.530,-1.041,-1.351,0.141
Sierra Leone,SLE,1962,4.000,0.233,0.151,0.360,0.182,0.184,-0.312,-1.039,1.060,0.410,0.329,0.618,-0.278,0.181,0.769,0.521,-0.313,0.289,0.837,-0.376,0.489,0.220,0.132,0.431,-1.590,-0.622,0.730,-0.568,0.009,0.106,1.082,0.630,0.388,-0.679,0.288,-0.355,0.603,0.752,1.619,0.077,0.901,-0.566,0.000,,,0.000,,,,0.436,0.254,0.498,1.000,-0.801,0.946,-0.858,0.377,83.700,0.111,-0.581,0.413,0.818,0.383,1.750,-0.373,-1.314,-0.215,0.685,1.432,0.415,-1.041,-0.714,0.591
Sierra Leone,SLE,1963,4.000,0.233,0.151,0.359,0.182,0.184,-0.312,-1.039,1.060,0.410,0.328,0.618,-0.278,0.181,0.769,0.521,-0.313,0.289,0.837,-0.376,0.489,0.220,0.132,0.431,-1.590,-0.622,0.730,-0.568,0.009,0.106,1.082,0.631,0.388,-0.679,0.288,-0.355,0.603,0.752,1.619,0.077,0.901,-0.566,0.000,,,0.000,,,,0.436,0.254,0.498,1.000,-0.801,0.946,-0.858,0.377,83.700,0.111,-0.581,0.413,0.818,0.383,1.750,-0.373,-1.314,-0.215,0.685,1.432,0.415,-1.041,-0.714,0.591
Sierra Leone,SLE,1964,4.000,0.228,0.152,0.366,0.182,0.187,-0.312,-1.039,1.060,0.410,0.346,0.618,-0.278,0.181,0.769,0.499,-0.313,0.289,0.837,-0.376,0.489,0.220,0.132,0.412,-1.590,-0.622,0.730,-0.568,0.009,-0.475,1.082,0.631,0.388,-0.679,0.288,-0.355,0.603,0.752,1.619,0.077,0.901,-0.566,0.000,,,0.000,,,,0.436,0.254,0.498,1.000,-0.801,0.946,-0.858,0.373,83.700,0.111,-0.581,0.413,0.818,0.383,1.750,-0.373,-1.314,-0.215,0.685,1.432,0.415,-1.041,-0.714,0.591
Sierra Leone,SLE,1965,4.000,0.217,0.151,0.360,0.178,0.185,-0.312,-1.039,1.060,0.410,0.346,0.618,-0.278,0.181,0.769,0.489,-0.313,0.289,0.837,-0.376,0.489,0.220,0.132,0.398,-1.590,-0.622,0.730,-0.568,-0.181,-0.619,0.618,0.631,-0.035,-0.679,0.288,-0.355,0.580,0.752,1.619,0.077,0.901,-0.566,0.000,,,0.000,,,,0.436,0.256,0.498,1.000,-0.801,0.799,-0.858,0.367,83.700,0.111,-0.581,0.413,0.818,0.383,1.750,-0.373,-1.314,-0.215,0.685,1.432,0.090,-1.041,-0.714,0.591
Sierra Leone,SLE,1966,4.000,0.217,0.151,0.360,0.177,0.186,-0.312,-1.039,1.060,0.407,0.346,0.618,-0.523,0.181,0.769,0.489,-0.313,0.289,0.837,-0.376,0.489,0.220,0.132,0.398,-1.590,-0.622,0.730,-0.568,-0.181,-0.619,0.618,0.631,-0.035,-0.679,0.288,-0.355,0.580,0.752,1.619,0.077,0.901,-0.566,0.000,,,0.000,,,,0.422,0.256,1.483,1.000,-0.801,0.799,-0.858,0.364,83.700,0.111,-0.581,0.413,0.818,0.387,1.750,-0.373,-1.314,-0.215,0.685,1.432,0.090,-1.041,-0.714,0.591
Sierra Leone,SLE,1967,4.000,0.166,0.108,0.239,0.112,0.144,-0.312,-1.039,0.663,0.407,0.072,0.472,-0.523,0.181,0.769,0.462,-0.603,0.268,0.000,-0.179,0.413,0.220,0.132,0.358,-1.590,-0.755,0.730,-0.568,-0.357,-0.619,0.618,0.586,-0.035,-0.679,0.288,-0.355,0.580,0.752,1.619,-0.357,0.901,-0.884,0.000,,,0.000,,,,0.364,0.493,1.483,0.000,1.559,0.799,-0.858,0.278,83.700,-0.033,-0.227,0.413,0.613,0.387,1.750,-0.373,-1.314,-0.470,0.685,1.432,-0.658,-1.041,-0.714,0.230
Sierra Leone,SLE,1968,4.000,0.138,0.077,0.169,0.077,0.111,-0.312,-1.039,0.663,0.274,0.000,0.231,-0.804,-0.727,0.453,0.438,-0.603,0.220,0.000,,0.301,0.191,0.116,0.330,,-0.602,0.730,-0.568,-0.530,-1.324,0.467,0.396,-0.424,-0.679,0.118,-0.355,0.450,0.527,1.619,-0.357,-0.254,-1.112,,,,0.000,,,,0.317,,1.483,0.000,,,,0.222,,-0.146,-0.675,0.216,0.146,0.343,0.689,-0.373,-1.314,-0.470,0.325,0.292,0.191,-1.195,-0.898,-0.095
Sierra Leone,SLE,1969,4.000,0.137,0.075,0.160,0.079,0.109,-0.312,-1.039,0.663,0.274,0.000,0.231,-0.804,-0.727,0.004,0.447,-0.603,0.221,0.000,,0.301,0.202,0.116,0.339,,-0.982,0.730,-0.568,-0.530,-1.058,0.517,0.374,-0.424,-0.679,0.118,-0.355,0.397,0.527,1.679,-0.947,-0.254,-0.939,,,,0.000,,,,0.344,,1.483,0.000,,,,0.235,,0.387,-0.750,0.216,0.146,0.343,0.689,-0.373,-1.314,-0.470,-0.387,0.292,-0.041,-1.195,-0.898,-0.095
Sierra Leone,SLE,1970,4.000,0.137,0.075,0.160,0.076,0.109,-0.573,-1.039,0.663,0.274,0.000,0.231,-0.804,-0.727,0.004,0.447,-0.603,0.219,0.000,,0.288,0.208,0.116,0.314,,-0.982,0.730,-0.568,-0.530,-1.058,0.517,0.374,-0.424,-0.679,0.118,-0.355,0.397,0.527,1.679,-0.947,-0.254,-0.939,,,,0.000,,,,0.344,,1.483,0.000,,,,0.223,,0.387,-0.750,0.216,0.146,0.343,0.689,-0.373,-1.314,-0.470,-0.387,0.292,-0.256,-1.195,-0.898,-0.549
Sierra Leone,SLE,1971,4.000,0.147,0.083,0.196,0.093,0.120,-0.573,-1.039,0.663,0.299,0.000,0.231,-0.804,-0.664,0.004,0.447,-0.603,0.222,0.837,,0.288,0.204,0.126,0.326,-2.085,-0.808,0.730,-0.568,-0.530,-1.058,0.517,0.335,-0.424,-0.679,0.118,-0.355,0.434,0.527,1.679,-0.556,-0.254,-0.939,0.000,,,0.000,,,,0.352,0.078,1.483,1.000,-1.821,-0.626,-0.903,0.254,83.700,0.387,-0.750,0.216,0.146,0.352,-0.339,-0.373,-1.314,-0.470,0.195,0.292,-0.256,-1.195,-0.365,-0.549
Sierra Leone,SLE,1972,4.000,0.150,0.076,0.205,0.092,0.119,-1.204,-1.624,0.663,0.264,0.000,0.231,-0.804,-1.011,-0.250,0.447,-0.603,0.190,0.837,,0.251,0.204,0.071,0.264,-2.085,-0.808,0.730,-0.568,-0.930,-1.058,0.517,0.315,-0.856,-0.948,0.118,-0.971,0.406,0.369,1.679,-0.556,-0.254,-0.939,0.000,,,0.000,,,,0.352,0.095,1.483,1.000,-1.821,-0.626,-0.903,0.245,83.700,0.387,-0.750,0.216,0.146,0.340,-0.339,-0.373,-1.314,-0.470,0.195,0.027,-0.256,-1.832,-0.582,-0.549
Sierra Leone,SLE,1973,4.000,0.157,0.081,0.225,0.096,0.109,-1.204,-1.624,0.663,0.264,0.066,0.231,-0.804,-1.011,-0.250,0.447,-0.603,0.190,0.876,-0.656,0.251,0.204,0.071,0.253,-2.085,-0.808,0.730,-0.568,-0.930,-1.058,0.517,0.349,-0.856,-0.948,-0.539,-0.971,0.406,0.369,1.679,-0.556,-0.254,-0.939,0.000,,,0.000,,,,0.352,0.095,1.483,1.000,-1.821,-0.626,-0.903,0.243,87.600,0.387,-0.750,0.216,0.146,0.286,-0.339,-0.373,-1.314,-0.470,0.195,0.027,-0.256,-1.832,-0.582,-0.549
Sierra Leone,SLE,1974,4.000,0.160,0.083,0.235,0.098,0.112,-1.204,-1.624,0.663,0.264,0.105,0.231,-0.804,-1.011,-0.250,0.447,-0.806,0.190,0.876,-0.656,0.251,0.204,0.071,0.253,-2.085,-0.808,0.730,-0.568,-0.930,-1.058,0.517,0.368,-0.856,-0.948,-0.539,-0.971,0.406,0.369,1.679,-0.556,-0.254,-0.939,0.000,,,0.000,,,,0.352,0.095,1.483,1.000,-1.821,-0.626,-0.903,0.243,87.600,0.387,-0.750,0.216,0.146,0.286,-0.339,-0.373,-1.314,-0.470,0.195,0.027,-0.256,-1.832,-0.582,-0.549
Sierra Leone,SLE,1975,4.000,0.160,0.083,0.235,0.098,0.112,-1.204,-1.624,0.663,0.264,0.105,0.231,-0.804,-1.011,-0.250,0.447,-0.806,0.190,0.876,-0.656,0.251,0.204,0.071,0.253,-2.085,-0.808,0.730,-0.568,-0.930,-1.058,0.517,0.368,-0.856,-0.948,-0.539,-0.971,0.406,0.369,1.679,-0.556,-0.254,-0.939,0.000,,,0.000,,,,0.352,0.095,1.483,1.000,-1.821,-0.626,-0.903,0.243,87.600,0.387,-0.750,0.216,0.146,0.286,-0.339,-0.373,-1.314,-0.470,0.195,0.027,-0.256,-1.832,-0.582,-0.549
Sierra Leone,SLE,1976,4.000,0.160,0.083,0.235,0.098,0.112,-1.204,-1.624,0.663,0.264,0.105,0.231,-0.804,-1.011,-0.250,0.447,-0.806,0.190,0.876,-0.656,0.251,0.204,0.071,0.253,-2.085,-0.808,0.730,-0.568,-0.930,-1.058,0.517,0.368,-0.856,-0.948,-0.539,-0.971,0.406,0.369,1.679,-0.556,-0.254,-0.939,0.000,,,0.000,,,,0.352,0.095,1.483,1.000,-1.821,-0.626,-0.903,0.243,87.600,0.387,-0.750,0.216,0.146,0.286,-0.339,-0.373,-1.314,-0.470,0.195,0.027,-0.256,-1.832,-0.582,-0.549
Sierra Leone,SLE,1977,4.000,0.156,0.080,0.224,0.095,0.108,-1.204,-1.624,0.663,0.264,0.068,0.231,-0.804,-0.876,-0.346,0.447,-0.806,0.190,0.876,-1.268,0.251,0.204,0.071,0.253,-2.085,-0.808,0.730,-0.568,-0.930,-1.058,0.517,0.336,-0.606,-0.948,-0.539,-0.971,0.403,0.369,1.679,-0.556,-0.197,-0.939,0.000,,,0.000,,,,0.352,0.095,1.483,1.000,-1.821,-0.626,-0.903,0.243,87.600,0.387,-1.038,0.216,0.146,0.286,-0.833,-0.970,-1.314,-0.470,0.195,0.027,-0.256,-1.832,-0.582,-0.549
Sierra Leone,SLE,1978,4.000,0.148,0.074,0.198,0.090,0.112,-1.204,-1.624,-0.951,0.264,0.048,0.265,-0.804,-0.876,-0.346,0.447,-1.522,0.190,0.876,-1.268,0.242,0.204,0.071,0.257,-2.085,-1.258,0.730,-0.568,-0.930,-1.058,0.414,0.182,-0.606,-0.948,-0.381,-0.971,0.388,0.369,1.679,-0.164,-0.306,-0.939,0.000,,,0.000,,,,0.355,0.095,1.483,1.000,-1.821,-0.626,-0.903,0.245,87.600,0.512,-1.757,0.180,-0.704,0.322,-1.257,-0.970,-1.314,-0.676,0.347,-0.078,-0.256,-1.832,-0.582,-0.549
Sierra Leone,SLE,1979,4.000,0.138,0.072,0.190,0.088,0.098,-1.334,-1.624,-0.951,0.244,0.048,0.265,-0.804,-1.039,-0.506,0.423,-1.522,0.190,0.876,-1.268,0.242,0.204,0.071,0.248,-2.085,-1.258,0.730,-0.568,-0.930,-1.058,0.284,0.143,-1.143,-1.245,-0.381,-0.971,0.362,0.369,1.679,-0.164,-0.306,-0.939,0.000,,,0.000,,,,0.355,0.095,1.483,1.000,-1.821,-0.626,-0.903,0.243,87.600,0.512,-1.757,0.180,-0.704,0.281,-2.277,-0.970,-1.314,-0.676,0.145,-0.078,-0.422,-1.832,-0.582,-0.688
