Country Name,Country ISO3 Code,Year,Region (Politico-Geographic 6-Category),Deliberative Democracy Index (D),Egalitarian Democracy Index (D),Electoral Democracy Index (D),Liberal Democracy Index (D),Participatory Democracy Index (D),Access to Justice for Men (C),Access to Justice for Women (C),Barriers to Parties (C),Civil Society Participation Index (D),Clean Elections Index (D),Compliance with High Court (C),Compliance with Judiciary (C),CSO Entry and Exit (C),CSO Repression (C),Deliberative Component Index (D),Distinct Party Platforms (C),Egalitarian Component Index (D),Elected Officials Index (D),Elections Multiparty (C),Equal Access Index (D),Equal Distribution of Resources Index (D),Equal Protection Index (D),Equality before Law & Individual Liberty Index (D),Executive Oversight (C),Executive Respects Constitution (C),Freedom from Forced Labor for Men (C),Freedom from Forced Labor for Women (C),Freedom from Political Killings (C),Freedom from Torture (C),Freedom of Academic & Cultural Expression (C),Freedom of Association Thick Index (D),Freedom of Discussion for Men (C),Freedom of Discussion for Women (C),Freedom of Domestic Movement for Men (C),Freedom of Domestic Movement for Women (C),Freedom of Expression & Alt. Info. Index (D),Freedom of Foreign Movement (C),Freedom of Religion (C),Gov. Censorship Effort — Media (C),Harassment of Journalists (C),High Court Independence (C),Indirectly Elected Legis. Lower Chamber (A),Indirectly Elected Legis. Upper Chamber (A),Initiatives Administrative Threshold (A),Initiatives Permitted (A),Initiatives Signatures (A),Initiatives Signatures % (A),Initiatives Super Majority (A),Judicial Constraints on Executive Index (D),Legislative Constraints on Executive Index (D),Legislative Party Cohesion (C),Legislature Bicameral (A*),Legislature Investigates in Practice (C),Legislature Opposition Parties (C),Legislature Questions Officials in Practice (C),Liberal Component Index (D),Lower Chamber Elected (A),Lower Court Independence (C),Media Bias (C),Media Self-Censorship (C),Opposition Parties Autonomy (C),Participatory Component Index (D),Party Ban (C),Party Branches (C),Party Linkages (C),Party Organizations (C),Print/Broadcast Media Critical (C),Print/Broadcast Media Perspectives (C),Rigorous & Impartial Public Administration (C),Social Class Equality (Civil Liberty) (C),Social Group Equality (Civil Liberty) (C),Transparent Laws with Predictable Enforcement (C),Upper Chamber Elected (A)
Tanzania,TZA,1960,4.000,0.031,0.113,0.167,0.118,0.041,-0.208,0.040,-0.106,0.089,0.471,1.169,-0.210,-0.615,-0.659,0.055,0.481,0.349,0.000,0.036,0.219,0.198,0.596,0.291,-0.781,-0.874,-0.494,-0.180,0.171,-0.448,-0.879,0.436,0.070,0.255,-1.269,0.330,0.373,-0.345,0.385,-1.193,0.391,0.282,0.000,,,0.000,,,,0.566,0.226,0.709,1.000,-1.080,0.069,-1.022,0.371,46.800,0.677,-0.236,-0.528,0.800,0.092,0.616,0.734,0.966,1.087,-0.007,-0.687,-1.336,1.002,-0.585,-0.320,
Tanzania,TZA,1961,4.000,0.135,0.236,0.215,0.194,0.082,1.023,0.651,0.666,0.412,0.555,1.169,1.359,0.043,0.690,0.382,0.481,0.729,0.000,0.036,0.868,0.647,0.703,0.670,-0.582,-0.655,0.813,0.946,1.609,0.952,-0.031,0.568,0.728,0.970,0.921,1.066,0.544,0.987,1.402,-0.903,0.833,0.892,0.000,,,0.000,,,,0.756,0.347,0.709,1.000,0.247,-1.198,0.283,0.586,100.000,1.161,1.873,-0.475,0.800,0.203,0.616,0.734,0.966,1.087,0.196,-0.687,-0.063,1.024,1.507,0.836,
Tanzania,TZA,1962,4.000,0.170,0.255,0.248,0.247,0.087,1.023,0.651,-0.192,0.386,0.557,1.169,1.359,0.268,0.690,0.462,0.393,0.744,1.000,0.036,0.898,0.659,0.703,0.674,1.825,1.614,0.813,0.946,1.609,0.948,0.177,0.438,0.728,0.970,0.921,1.066,0.424,0.987,1.402,-0.672,0.769,0.892,0.000,,,0.000,,,,0.823,0.686,0.709,1.000,1.520,-1.198,0.524,0.722,100.000,1.161,-0.487,-0.985,0.458,0.194,-0.617,0.896,0.545,0.900,-0.499,-0.294,-0.063,1.024,1.507,0.836,
Tanzania,TZA,1963,4.000,0.200,0.291,0.326,0.284,0.109,1.023,0.651,-0.462,0.386,0.564,1.169,1.359,0.268,0.690,0.462,0.647,0.744,1.000,0.036,0.898,0.659,0.703,0.674,1.825,1.614,0.813,0.946,1.609,0.948,0.177,0.327,0.728,0.970,0.921,1.066,0.424,0.987,1.402,-0.672,0.769,0.892,0.000,,,0.000,,,,0.823,0.686,0.709,1.000,1.520,-1.198,0.524,0.722,100.000,1.161,-0.487,-0.985,-0.358,0.194,-1.040,1.118,0.545,0.900,-0.499,-0.294,-0.063,1.024,1.507,0.836,
Tanzania,TZA,1964,4.000,0.200,0.291,0.327,0.280,0.109,1.023,0.651,-0.462,0.386,0.564,1.169,1.359,0.268,0.690,0.462,1.113,0.744,1.000,0.036,0.898,0.659,0.703,0.674,1.825,1.614,0.813,0.946,1.609,0.948,0.177,0.321,0.728,0.970,0.921,1.066,0.424,0.987,1.402,-0.672,0.769,0.892,0.000,,,0.000,,,,0.823,0.661,0.709,1.000,1.520,-1.579,0.524,0.711,100.000,1.161,-0.487,-0.985,-0.556,0.194,-1.040,1.118,0.545,0.900,-0.499,-0.294,-0.063,1.024,1.507,0.836,
Tanzania,TZA,1965,4.000,0.187,0.266,0.271,0.249,0.112,1.023,0.651,-0.847,0.386,0.541,0.952,1.154,0.268,0.690,0.493,1.113,0.748,0.794,-2.090,0.914,0.659,0.703,0.680,1.825,1.614,0.813,0.946,1.609,1.196,0.177,0.189,0.899,0.970,0.921,1.066,0.408,0.987,1.402,-0.672,0.769,0.791,7.000,,,0.000,,,,0.773,0.661,0.050,1.000,1.520,-1.579,0.524,0.694,55.300,0.902,-0.487,-0.985,-2.645,0.255,-1.777,1.118,0.717,0.811,-1.053,-0.294,-0.063,1.024,1.507,0.836,
Tanzania,TZA,1966,4.000,0.181,0.258,0.255,0.240,0.108,1.023,0.651,-1.055,0.395,0.487,0.952,1.154,0.268,0.690,0.493,1.113,0.747,0.794,-2.090,0.914,0.659,0.702,0.655,1.825,1.614,0.813,0.946,1.011,1.196,0.177,0.150,0.899,0.970,0.921,1.066,0.408,0.828,1.402,-0.672,0.769,0.791,7.000,,,0.000,,,,0.773,0.661,0.050,1.000,1.520,-1.579,0.524,0.685,55.300,0.902,-0.487,-0.985,-2.645,0.255,-1.777,1.118,0.717,0.968,-1.053,-0.294,-0.063,1.024,1.595,0.836,
Tanzania,TZA,1967,4.000,0.178,0.268,0.248,0.240,0.096,1.023,0.651,-1.055,0.292,0.487,0.952,1.154,0.093,0.586,0.493,1.764,0.792,0.794,-2.090,0.914,0.797,0.702,0.682,1.825,1.614,0.813,0.946,1.578,1.196,0.177,0.139,0.899,0.970,0.655,0.928,0.377,0.828,1.402,-0.672,0.548,0.791,7.000,,,0.000,,,,0.773,0.661,0.050,1.000,1.520,-1.579,0.524,0.694,55.300,0.902,-0.556,-1.137,-2.645,0.224,-1.777,1.838,1.327,0.968,-1.751,-0.015,-0.063,1.024,1.595,1.420,
Tanzania,TZA,1968,4.000,0.178,0.269,0.247,0.240,0.096,1.023,0.651,-1.055,0.292,0.487,0.952,1.154,0.002,0.586,0.493,1.764,0.792,0.794,-2.090,0.914,0.797,0.702,0.682,1.825,1.614,0.813,0.946,1.578,1.196,0.177,0.137,0.899,0.970,0.655,0.928,0.377,0.828,1.402,-0.672,0.548,0.791,7.000,,,0.000,,,,0.773,0.661,0.050,1.000,1.520,-1.579,0.524,0.694,55.300,0.902,-0.556,-1.137,-2.645,0.224,-1.777,1.838,1.327,0.968,-1.751,-0.015,-0.063,1.024,1.595,1.420,
Tanzania,TZA,1969,4.000,0.178,0.269,0.247,0.240,0.096,1.023,0.651,-1.055,0.292,0.487,0.952,1.154,0.002,0.586,0.493,1.764,0.792,0.794,-2.090,0.914,0.797,0.702,0.682,1.825,1.614,0.813,0.946,1.578,1.196,0.177,0.137,0.899,0.970,0.655,0.928,0.377,0.828,1.402,-0.672,0.548,0.791,7.000,,,0.000,,,,0.773,0.661,0.050,1.000,1.520,-1.579,0.524,0.694,55.300,0.902,-0.556,-1.137,-2.645,0.224,-1.777,1.838,1.327,0.968,-1.751,-0.015,-0.063,1.024,1.595,1.420,
